GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab01-recordando-po-vh,cs.ing.software.lab1,Prueba,37,0,0,0,8,0,2,0,2,0
lab01-recordando-po-vh,cs.ing.software.lab1,Camion,60,0,2,0,11,0,3,0,2,0
lab01-recordando-po-vh,cs.ing.software.lab1,Vehiculo,2,12,0,0,1,5,1,1,1,1
lab01-recordando-po-vh,cs.ing.software.lab1,Automovil,7,29,1,1,3,8,1,2,0,2
